仓库id,商品编码,商品数量,库位,最近入库时间,原料有效期,（商品名称）
02,111002,202,5,2014/1/1,2016/12/31,白辣椒半成品
02,111003,802,5,2014/1/1,2016/12/31,白米粥半成品
02,111004,352,5,2014/1/1,2016/12/31,白吐司半成品
02,111005,1102,5,2014/1/1,2016/12/31,包菜半成品
02,111006,232,5,2014/1/1,2016/12/31,刨盐鱼半成品
02,111007,332,5,2014/1/1,2016/12/31,煲仔汁半成品
02,111334,162,5,2014/1/1,2016/12/31,德式香肠半成品
02,111284,182,5,2014/1/1,2016/12/31,肉松半成品
02,111285,142,5,2014/1/1,2016/12/31,瑞典肉丸半成品
02,111287,82,5,2014/1/1,2016/12/31,自制香辣酱半成品
02,111288,652,5,2014/1/1,2016/12/31,高汤半成品
02,111289,542,5,2014/1/1,2016/12/31,鸡鸭架骨半成品
02,111290,92,5,2014/1/1,2016/12/31,红油半成品
02,111291,702,5,2014/1/1,2016/12/31,清汤半成品
03,101001,1003,1,2014/1/1,2016/12/31,鸡蛋
03,101002,103,1,2014/1/1,2016/12/31,老母鸡
03,101003,503,1,2014/1/1,2016/12/31,皮蛋
03,101004,103,1,2014/1/1,2016/12/31,老水鸭（去内脏）
03,102001,203,2,2014/1/1,2016/12/31,奥仕嘉蜗牛
03,102002,103,2,2014/1/1,2016/12/31,冻青豆
03,102003,503,2,2014/1/1,2016/12/31,鸡胸肉
03,102004,123,2,2014/1/1,2016/12/31,冷冻牛肝菌
03,102005,303,2,2014/1/1,2016/12/31,培根
03,102006,203,3,2014/1/1,2016/12/31,青虾仁
03,201001,53,3,2014/1/1,2016/12/31,玉和桂花白醋
03,201002,253,3,2014/1/1,2016/12/31,白糖
03,201003,103,3,2014/1/1,2016/12/31,宝鼎牌黑橄榄
03,201005,153,3,2014/1/1,2016/12/31,大颗冰糖
03,201006,303,4,2014/1/1,2016/12/31,东佳利土豆粉
03,202001,103,4,2014/1/1,2016/12/31,白干椒(无盐）
03,202002,603,4,2014/1/1,2016/12/31,白萝卜
03,202003,403,4,2014/1/1,2016/12/31,大青椒
03,202004,223,4,2014/1/1,2016/12/31,凤尾酸菜
03,202005,803,4,2014/1/1,2016/12/31,红萝卜
03,202006,553,4,2014/1/1,2016/12/31,红柿椒
03,111001,303,5,2014/1/1,2016/12/31,澳扒半成品
03,111002,203,5,2014/1/1,2016/12/31,白辣椒半成品
03,111003,803,5,2014/1/1,2016/12/31,白米粥半成品
03,111004,353,5,2014/1/1,2016/12/31,白吐司半成品
03,111005,1103,5,2014/1/1,2016/12/31,包菜半成品
03,111006,233,5,2014/1/1,2016/12/31,刨盐鱼半成品
03,111007,333,5,2014/1/1,2016/12/31,煲仔汁半成品
03,111334,163,5,2014/1/1,2016/12/31,德式香肠半成品
03,111284,183,5,2014/1/1,2016/12/31,肉松半成品
03,111285,143,5,2014/1/1,2016/12/31,瑞典肉丸半成品
03,111287,83,5,2014/1/1,2016/12/31,自制香辣酱半成品
03,111288,653,5,2014/1/1,2016/12/31,高汤半成品
03,111289,543,5,2014/1/1,2016/12/31,鸡鸭架骨半成品
03,111290,93,5,2014/1/1,2016/12/31,红油半成品
03,111291,703,5,2014/1/1,2016/12/31,清汤半成品
100a,101001,2000,1,2014/1/1,2016/12/31,鸡蛋
100a,101002,200,1,2014/1/1,2016/12/31,老母鸡
100a,101003,1000,1,2014/1/1,2016/12/31,皮蛋
100a,101004,200,1,2014/1/1,2016/12/31,老水鸭（去内脏）
100a,102001,400,2,2014/1/1,2016/12/31,奥仕嘉蜗牛
100a,102002,200,2,2014/1/1,2016/12/31,冻青豆
100a,102003,1000,2,2014/1/1,2016/12/31,鸡胸肉
100a,102004,240,2,2014/1/1,2016/12/31,冷冻牛肝菌
100a,102005,600,2,2014/1/1,2016/12/31,培根
100a,102006,400,3,2014/1/1,2016/12/31,青虾仁
100a,201001,100,3,2014/1/1,2016/12/31,玉和桂花白醋
100a,201002,500,3,2014/1/1,2016/12/31,白糖
100a,201003,200,3,2014/1/1,2016/12/31,宝鼎牌黑橄榄
100a,201005,300,3,2014/1/1,2016/12/31,大颗冰糖
100a,201006,600,4,2014/1/1,2016/12/31,东佳利土豆粉
100a,202001,200,4,2014/1/1,2016/12/31,白干椒(无盐）
100a,202002,1200,4,2014/1/1,2016/12/31,白萝卜
100a,202003,800,4,2014/1/1,2016/12/31,大青椒
100a,202004,440,4,2014/1/1,2016/12/31,凤尾酸菜
100a,202005,1600,4,2014/1/1,2016/12/31,红萝卜
100a,202006,1100,4,2014/1/1,2016/12/31,红柿椒
100a,111001,600,5,2014/1/1,2016/12/31,澳扒半成品
100a,111002,400,5,2014/1/1,2016/12/31,白辣椒半成品
100a,111003,1600,5,2014/1/1,2016/12/31,白米粥半成品
100a,111004,700,5,2014/1/1,2016/12/31,白吐司半成品
100a,111005,2200,5,2014/1/1,2016/12/31,包菜半成品
100a,111006,460,5,2014/1/1,2016/12/31,刨盐鱼半成品
100a,111007,660,5,2014/1/1,2016/12/31,煲仔汁半成品
100a,111334,320,5,2014/1/1,2016/12/31,德式香肠半成品
100a,111284,360,5,2014/1/1,2016/12/31,肉松半成品
100a,111285,280,5,2014/1/1,2016/12/31,瑞典肉丸半成品
100a,111287,160,5,2014/1/1,2016/12/31,自制香辣酱半成品
100a,111288,1300,5,2014/1/1,2016/12/31,高汤半成品
100a,111289,1080,5,2014/1/1,2016/12/31,鸡鸭架骨半成品
100a,111290,180,5,2014/1/1,2016/12/31,红油半成品
100a,111291,1400,5,2014/1/1,2016/12/31,清汤半成品
100b,101001,2000,1,2014/1/1,2016/12/31,鸡蛋
100b,101002,200,1,2014/1/1,2016/12/31,老母鸡
100b,101003,1000,1,2014/1/1,2016/12/31,皮蛋
100b,101004,200,1,2014/1/1,2016/12/31,老水鸭（去内脏）
100b,102001,400,2,2014/1/1,2016/12/31,奥仕嘉蜗牛
100b,102002,200,2,2014/1/1,2016/12/31,冻青豆
100b,102003,1000,2,2014/1/1,2016/12/31,鸡胸肉
100b,102004,240,2,2014/1/1,2016/12/31,冷冻牛肝菌
100b,102005,600,2,2014/1/1,2016/12/31,培根
100b,102006,400,3,2014/1/1,2016/12/31,青虾仁
100b,201001,100,3,2014/1/1,2016/12/31,玉和桂花白醋
100b,201002,500,3,2014/1/1,2016/12/31,白糖
100b,201003,200,3,2014/1/1,2016/12/31,宝鼎牌黑橄榄
100b,201005,300,3,2014/1/1,2016/12/31,大颗冰糖
100b,201006,600,4,2014/1/1,2016/12/31,东佳利土豆粉
100b,202001,200,4,2014/1/1,2016/12/31,白干椒(无盐）
100b,202002,1200,4,2014/1/1,2016/12/31,白萝卜
100b,202003,800,4,2014/1/1,2016/12/31,大青椒
100b,202004,440,4,2014/1/1,2016/12/31,凤尾酸菜
100b,202005,1600,4,2014/1/1,2016/12/31,红萝卜
100b,202006,1100,4,2014/1/1,2016/12/31,红柿椒
100b,111001,600,5,2014/1/1,2016/12/31,澳扒半成品
100b,111002,400,5,2014/1/1,2016/12/31,白辣椒半成品
100b,111003,1600,5,2014/1/1,2016/12/31,白米粥半成品
100b,111004,700,5,2014/1/1,2016/12/31,白吐司半成品
100b,111005,2200,5,2014/1/1,2016/12/31,包菜半成品
100b,111006,460,5,2014/1/1,2016/12/31,刨盐鱼半成品
100b,111007,660,5,2014/1/1,2016/12/31,煲仔汁半成品
100b,111334,320,5,2014/1/1,2016/12/31,德式香肠半成品
100b,111284,360,5,2014/1/1,2016/12/31,肉松半成品
100b,111285,280,5,2014/1/1,2016/12/31,瑞典肉丸半成品
100b,111287,160,5,2014/1/1,2016/12/31,自制香辣酱半成品
100b,111288,1300,5,2014/1/1,2016/12/31,高汤半成品
100b,111289,1080,5,2014/1/1,2016/12/31,鸡鸭架骨半成品
100b,111290,180,5,2014/1/1,2016/12/31,红油半成品
100b,111291,1400,5,2014/1/1,2016/12/31,清汤半成品
200,101001,3000,1,2014/1/1,2016/12/31,鸡蛋
200,101002,300,1,2014/1/1,2016/12/31,老母鸡
200,101003,1500,1,2014/1/1,2016/12/31,皮蛋
200,101004,300,1,2014/1/1,2016/12/31,老水鸭（去内脏）
200,102001,600,2,2014/1/1,2016/12/31,奥仕嘉蜗牛
200,102002,300,2,2014/1/1,2016/12/31,冻青豆
200,102003,1500,2,2014/1/1,2016/12/31,鸡胸肉
200,102004,360,2,2014/1/1,2016/12/31,冷冻牛肝菌
200,102005,900,2,2014/1/1,2016/12/31,培根
200,102006,600,3,2014/1/1,2016/12/31,青虾仁
200,201001,150,3,2014/1/1,2016/12/31,玉和桂花白醋
200,201002,750,3,2014/1/1,2016/12/31,白糖
200,201003,300,3,2014/1/1,2016/12/31,宝鼎牌黑橄榄
200,201005,450,3,2014/1/1,2016/12/31,大颗冰糖
200,201006,900,4,2014/1/1,2016/12/31,东佳利土豆粉
200,202001,300,4,2014/1/1,2016/12/31,白干椒(无盐）
200,202002,1800,4,2014/1/1,2016/12/31,白萝卜
200,202003,1200,4,2014/1/1,2016/12/31,大青椒
200,202004,660,4,2014/1/1,2016/12/31,凤尾酸菜
200,202005,2400,4,2014/1/1,2016/12/31,红萝卜
200,202006,1650,4,2014/1/1,2016/12/31,红柿椒
200,111001,900,5,2014/1/1,2016/12/31,澳扒半成品
200,111002,600,5,2014/1/1,2016/12/31,白辣椒半成品
200,111003,2400,5,2014/1/1,2016/12/31,白米粥半成品
200,111004,1050,5,2014/1/1,2016/12/31,白吐司半成品
200,111005,3300,5,2014/1/1,2016/12/31,包菜半成品
200,111006,690,5,2014/1/1,2016/12/31,刨盐鱼半成品
200,111007,990,5,2014/1/1,2016/12/31,煲仔汁半成品
200,111334,480,5,2014/1/1,2016/12/31,德式香肠半成品
200,111284,540,5,2014/1/1,2016/12/31,肉松半成品
200,111285,420,5,2014/1/1,2016/12/31,瑞典肉丸半成品
200,111287,240,5,2014/1/1,2016/12/31,自制香辣酱半成品
200,111288,1950,5,2014/1/1,2016/12/31,高汤半成品
200,111289,1620,5,2014/1/1,2016/12/31,鸡鸭架骨半成品
200,111290,270,5,2014/1/1,2016/12/31,红油半成品
200,111291,2100,5,2014/1/1,2016/12/31,清汤半成品
